id,label
1,9
2,0
3,0
4,3
5,0
6,2
7,7
8,2
9,5
10,5
11,0
12,9
13,5
14,5
15,7
16,9
17,1
18,0
19,6
20,4
21,3
22,1
23,4
24,8
25,4
26,3
27,0
28,2
29,4
30,4
31,5
32,3
33,6
34,6
35,0
36,8
37,5
38,2
39,1
40,6
41,6
42,7
43,9
44,5
45,9
46,2
47,7
48,3
49,0
50,3
51,3
52,3
53,7
54,2
55,2
56,6
57,6
58,8
59,3
60,3
61,5
62,0
63,5
64,5
65,0
66,2
67,0
68,0
69,4
70,1
71,3
72,1
73,6
74,3
75,1
76,4
77,4
78,6
79,1
80,9
81,1
82,3
83,5
84,7
85,9
86,7
87,1
88,7
89,9
90,9
91,9
92,3
93,2
94,9
95,3
96,6
97,4
98,1
99,1
100,8
101,8
102,0
103,1
104,1
105,6
106,8
107,1
108,9
109,7
110,8
111,8
112,9
113,6
114,6
115,3
116,1
117,5
118,4
119,6
120,7
121,5
122,5
123,9
124,2
125,2
126,2
127,7
128,6
129,4
130,1
131,8
132,7
133,7
134,5
135,4
136,2
137,9
138,1
139,7
140,4
141,6
142,9
143,7
144,1
145,8
146,7
147,1
148,2
149,8
150,0
151,9
152,1
153,8
154,7
155,0
156,5
157,8
158,6
159,7
160,2
161,0
162,8
163,7
164,1
165,6
166,2
167,1
168,9
169,6
170,0
171,1
172,0
173,5
174,5
175,1
176,7
177,0
178,5
179,8
180,4
181,0
182,4
183,0
184,6
185,6
186,4
187,0
188,0
189,4
190,7
191,3
192,0
193,5
194,8
195,4
196,1
197,1
198,2
199,9
200,2
201,8
202,5
203,0
204,6
205,3
206,4
207,6
208,0
209,9
210,1
211,7
212,3
213,8
214,5
215,8
216,3
217,8
218,5
219,2
220,0
221,8
222,7
223,0
224,3
225,5
226,0
227,6
228,5
229,2
230,7
231,5
232,2
233,6
234,8
235,2
236,6
237,8
238,0
239,4
240,4
241,4
242,4
243,4
244,1
245,5
246,6
247,5
248,3
249,3
250,7
251,3
252,3
253,6
254,2
255,8
256,4
257,6
258,5
259,9
260,3
261,2
262,3
263,2
264,4
265,4
266,8
267,2
268,5
269,3
270,0
271,7
272,2
273,0
274,2
275,5
276,7
277,2
278,3
279,1
280,7
281,6
282,2
283,9
284,1
285,9
286,1
287,1
288,8
289,7
290,8
291,4
292,2
293,6
294,6
295,7
296,9
297,4
298,6
299,1
300,9
301,5
302,6
303,0
304,5
305,0
306,1
307,6
308,1
309,1
310,6
311,7
312,4
313,4
314,8
315,6
316,4
317,6
318,9
319,3
320,7
321,5
322,0
323,8
324,3
325,4
326,0
327,3
328,3
329,2
330,0
331,1
332,0
333,3
334,8
335,3
336,9
337,1
338,9
339,0
340,4
341,7
342,7
343,8
344,5
345,6
346,5
347,6
348,8
349,2
350,5
351,2
352,3
353,1
354,6
355,0
356,7
357,8
358,7
359,8
360,1
361,9
362,6
363,4
364,5
365,7
366,1
367,7
368,6
369,6
370,7
371,3
372,5
373,8
374,7
375,3
376,3
377,9
378,0
379,3
380,1
381,6
382,4
383,7
384,0
385,5
386,1
387,5
388,4
389,4
390,5
391,9
392,1
393,0
394,5
395,8
396,3
397,4
398,4
399,2
400,4
401,2
402,5
403,6
404,7
405,2
406,2
407,5
408,3
409,8
410,8
411,6
412,8
413,4
414,4
415,1
416,0
417,2
418,7
419,1
420,1
421,8
422,8
423,2
424,7
425,9
426,7
427,4
428,1
429,2
430,0
431,8
432,9
433,1
434,4
435,9
436,5
437,6
438,7
439,0
440,3
441,2
442,0
443,4
444,1
445,0
446,0
447,8
448,7
449,0
450,2
451,9
452,9
453,1
454,3
455,8
456,3
457,1
458,4
459,8
460,5
461,1
462,8
463,2
464,4
465,4
466,9
467,5
468,5
469,4
470,5
471,6
472,3
473,7
474,4
475,9
476,5
477,8
478,9
479,3
480,9
481,6
482,4
483,7
484,2
485,2
486,6
487,4
488,8
489,3
490,0
491,2
492,8
493,9
494,0
495,8
496,6
497,3
498,9
499,1
500,6
501,3
502,2
503,6
504,1
505,0
506,2
507,6
508,2
509,3
510,3
511,9
512,1
513,7
514,9
515,1
516,1
517,0
518,1
519,7
520,0
521,8
522,5
523,0
524,6
525,0
526,1
527,6
528,6
529,8
530,7
531,0
532,9
533,9
534,9
535,7
536,4
537,3
538,9
539,5
540,9
541,1
542,4
543,1
544,6
545,2
546,2
547,2
548,7
549,7
550,6
551,3
552,7
553,5
554,8
555,6
556,4
557,8
558,4
559,7
560,8
561,6
562,5
563,9
564,9
565,0
566,0
567,2
568,4
569,3
570,7
571,9
572,3
573,1
574,9
575,2
576,7
577,5
578,5
579,4
580,8
581,2
582,7
583,8
584,1
585,2
586,6
587,6
588,8
589,1
590,9
591,6
592,0
593,0
594,5
595,9
596,3
597,3
598,7
599,6
600,1
601,0
602,0
603,6
604,4
605,7
606,5
607,9
608,7
609,9
610,3
611,8
612,8
613,4
614,8
615,5
616,4
617,2
618,2
619,7
620,7
621,5
622,8
623,4
624,6
625,9
626,4
627,3
628,7
629,8
630,7
631,8
632,3
633,7
634,8
635,4
636,7
637,7
638,2
639,2
640,0
641,0
642,0
643,3
644,9
645,1
646,0
647,9
648,8
649,4
650,3
651,9
652,9
653,9
654,8
655,8
656,5
657,4
658,5
659,4
660,9
661,8
662,8
663,0
664,9
665,2
666,0
667,7
668,3
669,7
670,9
671,3
672,8
673,4
674,3
675,7
676,8
677,1
678,4
679,0
680,7
681,9
682,8
683,5
684,5
685,2
686,1
687,3
688,4
689,6
690,7
691,7
692,5
693,9
694,9
695,7
696,8
697,2
698,7
699,4
700,7
701,0
702,3
703,5
704,1
705,1
706,5
707,5
708,2
709,8
710,3
711,5
712,9
713,0
714,7
715,3
716,0
717,0
718,7
719,1
720,9
721,4
722,8
723,9
724,1
725,8
726,3
727,4
728,7
729,7
730,7
731,1
732,4
733,0
734,4
735,5
736,8
737,8
738,6
739,5
740,7
741,1
742,0
743,2
744,4
745,9
746,0
747,9
748,8
749,6
750,2
751,8
752,1
753,4
754,1
755,1
756,2
757,3
758,3
759,8
760,9
761,5
762,1
763,6
764,4
765,5
766,9
767,6
768,2
769,8
770,8
771,7
772,0
773,1
774,6
775,5
776,5
777,6
778,5
779,4
780,6
781,0
782,6
783,1
784,1
785,5
786,7
787,6
788,5
789,4
790,0
791,6
792,0
793,7
794,2
795,8
796,9
797,1
798,6
799,7
800,1
801,9
802,8
803,3
804,5
805,7
806,1
807,1
808,9
809,0
810,6
811,4
812,8
813,0
814,9
815,5
816,0
817,0
818,1
819,8
820,7
821,6
822,7
823,9
824,0
825,3
826,0
827,1
828,3
829,8
830,0
831,0
832,1
833,7
834,4
835,7
836,3
837,7
838,0
839,6
840,0
841,2
842,3
843,4
844,5
845,9
846,5
847,2
848,8
849,7
850,0
851,1
852,4
853,1
854,8
855,3
856,2
857,7
858,5
859,0
860,9
861,6
862,6
863,9
864,3
865,1
866,1
867,9
868,9
869,3
870,9
871,7
872,3
873,1
874,9
875,1
876,6
877,3
878,0
879,4
880,8
881,0
882,6
883,6
884,2
885,9
886,1
887,9
888,8
889,3
890,4
891,7
892,2
893,0
894,0
895,8
896,6
897,9
898,1
899,2
900,5
901,2
902,8
903,5
904,6
905,7
906,0
907,6
908,8
909,7
910,1
911,0
912,3
913,4
914,7
915,5
916,2
917,5
918,1
919,1
920,5
921,7
922,5
923,1
924,4
925,9
926,6
927,7
928,5
929,7
930,3
931,8
932,2
933,9
934,4
935,2
936,5
937,5
938,7
939,4
940,2
941,6
942,9
943,0
944,5
945,3
946,6
947,9
948,5
949,3
950,6
951,0
952,3
953,5
954,7
955,1
956,2
957,5
958,7
959,8
960,1
961,6
962,3
963,9
964,7
965,7
966,0
